country,iso3,geo,is_eu27,year,sex,age_group,unemployment_rate
Bulgaria,BGR,BG,True,2012,Total,Youth (15-24),31.2
Bulgaria,BGR,BG,True,2012,Female,Overall (15-74),11.8
Bulgaria,BGR,BG,True,2012,Male,Overall (15-74),14.6
Bulgaria,BGR,BG,True,2012,Total,Overall (15-74),13.3
Bulgaria,BGR,BG,True,2013,Female,Youth (15-24),30.3
Bulgaria,BGR,BG,True,2013,Male,Youth (15-24),32.2
Bulgaria,BGR,BG,True,2013,Total,Youth (15-24),31.5
Bulgaria,BGR,BG,True,2013,Female,Overall (15-74),12.8
Bulgaria,BGR,BG,True,2013,Male,Overall (15-74),14.9
Bulgaria,BGR,BG,True,2013,Total,Overall (15-74),13.9
Bulgaria,BGR,BG,True,2014,Female,Youth (15-24),28.3
Bulgaria,BGR,BG,True,2014,Male,Youth (15-24),26.1
Bulgaria,BGR,BG,True,2014,Total,Youth (15-24),26.9
Bulgaria,BGR,BG,True,2014,Female,Overall (15-74),11.3
Bulgaria,BGR,BG,True,2014,Male,Overall (15-74),13.3
Bulgaria,BGR,BG,True,2014,Total,Overall (15-74),12.4
Bulgaria,BGR,BG,True,2015,Female,Youth (15-24),26.7
Bulgaria,BGR,BG,True,2015,Male,Youth (15-24),23.6
Bulgaria,BGR,BG,True,2015,Total,Youth (15-24),24.7
Bulgaria,BGR,BG,True,2015,Female,Overall (15-74),9.3
Bulgaria,BGR,BG,True,2015,Male,Overall (15-74),10.8
Bulgaria,BGR,BG,True,2015,Total,Overall (15-74),10.1
Bulgaria,BGR,BG,True,2016,Female,Youth (15-24),21.1
Bulgaria,BGR,BG,True,2016,Male,Youth (15-24),20.0
Bulgaria,BGR,BG,True,2016,Total,Youth (15-24),20.4
Bulgaria,BGR,BG,True,2016,Female,Overall (15-74),7.9
Bulgaria,BGR,BG,True,2016,Male,Overall (15-74),9.2
Bulgaria,BGR,BG,True,2016,Total,Overall (15-74),8.6
Bulgaria,BGR,BG,True,2017,Female,Youth (15-24),16.3
Bulgaria,BGR,BG,True,2017,Male,Youth (15-24),16.0
Bulgaria,BGR,BG,True,2017,Total,Youth (15-24),16.1
Bulgaria,BGR,BG,True,2017,Female,Overall (15-74),6.9
Bulgaria,BGR,BG,True,2017,Male,Overall (15-74),7.4
Bulgaria,BGR,BG,True,2017,Total,Overall (15-74),7.2
Bulgaria,BGR,BG,True,2018,Female,Youth (15-24),15.7
Bulgaria,BGR,BG,True,2018,Male,Youth (15-24),16.0
Bulgaria,BGR,BG,True,2018,Total,Youth (15-24),15.9
Bulgaria,BGR,BG,True,2018,Female,Overall (15-74),5.6
Bulgaria,BGR,BG,True,2018,Male,Overall (15-74),6.7
Bulgaria,BGR,BG,True,2018,Total,Overall (15-74),6.2
Bulgaria,BGR,BG,True,2019,Female,Youth (15-24),11.8
Bulgaria,BGR,BG,True,2019,Male,Youth (15-24),12.3
Bulgaria,BGR,BG,True,2019,Total,Youth (15-24),12.1
Bulgaria,BGR,BG,True,2019,Female,Overall (15-74),4.8
Bulgaria,BGR,BG,True,2019,Male,Overall (15-74),5.5
Bulgaria,BGR,BG,True,2019,Total,Overall (15-74),5.2
Bulgaria,BGR,BG,True,2020,Female,Youth (15-24),17.7
Bulgaria,BGR,BG,True,2020,Male,Youth (15-24),17.3
Bulgaria,BGR,BG,True,2020,Total,Youth (15-24),17.5
Bulgaria,BGR,BG,True,2020,Female,Overall (15-74),5.6
Bulgaria,BGR,BG,True,2020,Male,Overall (15-74),6.4
Bulgaria,BGR,BG,True,2020,Total,Overall (15-74),6.1
Bulgaria,BGR,BG,True,2021,Female,Youth (15-24),15.1
Bulgaria,BGR,BG,True,2021,Male,Youth (15-24),16.2
Bulgaria,BGR,BG,True,2021,Total,Youth (15-24),15.8
Bulgaria,BGR,BG,True,2021,Female,Overall (15-74),4.9
Bulgaria,BGR,BG,True,2021,Male,Overall (15-74),5.4
Bulgaria,BGR,BG,True,2021,Total,Overall (15-74),5.2
Bulgaria,BGR,BG,True,2022,Female,Youth (15-24),10.4
Bulgaria,BGR,BG,True,2022,Male,Youth (15-24),10.8
Bulgaria,BGR,BG,True,2022,Total,Youth (15-24),10.6
Bulgaria,BGR,BG,True,2022,Female,Overall (15-74),3.9
Bulgaria,BGR,BG,True,2022,Male,Overall (15-74),4.3
Bulgaria,BGR,BG,True,2022,Total,Overall (15-74),4.2
Bulgaria,BGR,BG,True,2023,Female,Youth (15-24),11.1
Bulgaria,BGR,BG,True,2023,Male,Youth (15-24),12.8
Bulgaria,BGR,BG,True,2023,Total,Youth (15-24),12.1
Bulgaria,BGR,BG,True,2023,Female,Overall (15-74),4.2
Bulgaria,BGR,BG,True,2023,Male,Overall (15-74),4.4
Bulgaria,BGR,BG,True,2023,Total,Overall (15-74),4.3
Bulgaria,BGR,BG,True,2024,Female,Youth (15-24),11.7
Bulgaria,BGR,BG,True,2024,Male,Youth (15-24),12.8
Bulgaria,BGR,BG,True,2024,Total,Youth (15-24),12.3
Bulgaria,BGR,BG,True,2024,Female,Overall (15-74),3.9
Bulgaria,BGR,BG,True,2024,Male,Overall (15-74),4.4
Bulgaria,BGR,BG,True,2024,Total,Overall (15-74),4.2
Bulgaria,BGR,BG,True,2025,Female,Youth (15-24),11.8
Bulgaria,BGR,BG,True,2025,Male,Youth (15-24),14.0
Bulgaria,BGR,BG,True,2025,Total,Youth (15-24),13.1
Bulgaria,BGR,BG,True,2025,Female,Overall (15-74),3.4
Bulgaria,BGR,BG,True,2025,Male,Overall (15-74),3.7
Bulgaria,BGR,BG,True,2025,Total,Overall (15-74),3.5
Croatia,HRV,HR,True,2009,Female,Youth (15-24),27.6
Croatia,HRV,HR,True,2009,Male,Youth (15-24),23.0
Croatia,HRV,HR,True,2009,Total,Youth (15-24),24.8
Croatia,HRV,HR,True,2009,Female,Overall (15-74),10.5
Croatia,HRV,HR,True,2009,Male,Overall (15-74),7.8
Croatia,HRV,HR,True,2009,Total,Overall (15-74),9.1
Croatia,HRV,HR,True,2010,Female,Youth (15-24),35.3
Croatia,HRV,HR,True,2010,Male,Youth (15-24),31.4
Croatia,HRV,HR,True,2010,Total,Youth (15-24),33.0
